survived,pclass,age,sibsp,parch,fare,adult_male,embark_town,alive,FamilySize,sex_male,embarked_q,embarked_s,class_Second,class_Third,who_man,who_woman,alone_True,FamilyCategory_Small,FamilyCategory_Large,AgeGroup_Teen,AgeGroup_Young Adult,AgeGroup_Adult,AgeGroup_Senior
0,3,-0.5510595194824087,0.47587560314134286,-0.5007544611783037,-0.8462180002516918,True,Southampton,no,0.0330656452941511,1,0,1,0,1,1,0,0,1,0,0,1,0,0
1,1,0.6119446643175359,0.47587560314134286,-0.5007544611783037,1.9550924255913968,False,Cherbourg,yes,0.0330656452941511,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,3,-0.26030847353242254,-0.5345451980491797,-0.5007544611783037,-0.8166882940293968,False,Southampton,yes,-0.6240080752947493,0,0,1,0,1,0,1,1,0,0,0,1,0,0
1,1,0.3938813798550463,0.47587560314134286,-0.5007544611783037,1.1596146372182752,False,Southampton,yes,0.0330656452941511,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,3,0.3938813798550463,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.7933576387281377,True,Queenstown,no,-0.6240080752947493,1,1,0,0,1,1,0,1,0,0,0,1,0,0
0,1,1.7749488481174804,-0.5345451980491797,-0.5007544611783037,1.1054768424774006,True,Southampton,no,-0.6240080752947493,1,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,-2.0048147492323394,2.496717205522388,0.6896894265922036,-0.24140586910616751,False,Southampton,no,2.0042868070608524,1,0,1,0,1,0,0,0,0,1,0,0,0,0
1,3,-0.18762071204492597,-0.5345451980491797,1.8801333143627108,-0.6763325066620054,False,Southampton,yes,0.6901393658830515,0,0,1,0,1,0,1,0,1,0,0,1,0,0
1,2,-1.1325616113823809,0.47587560314134286,-0.5007544611783037,0.15213980679682762,False,Cherbourg,yes,0.0330656452941511,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1,3,-1.8594392262573463,0.47587560314134286,0.6896894265922036,-0.4328021131395613,False,Southampton,yes,0.6901393658830515,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,1,2.0656998940674667,-0.5345451980491797,-0.5007544611783037,-0.001887140858663212,False,Southampton,yes,-0.6240080752947493,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0,3,-0.6964350424574017,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,0.6846324258050325,0.47587560314134286,5.451464977674232,0.204820802697402,True,Southampton,no,3.3184342482386535,1,0,1,0,1,1,0,0,0,1,0,0,1,0
0,3,-1.1325616113823809,-0.5345451980491797,-0.5007544611783037,-0.8197856321042687,False,Southampton,no,-0.6240080752947493,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,2,1.847636609604977,-0.5345451980491797,-0.5007544611783037,-0.46342551218490424,False,Southampton,yes,-0.6240080752947493,0,0,1,1,0,0,1,1,0,0,0,0,1,0
0,3,-2.0048147492323394,3.50713800671291,0.6896894265922036,0.1107632199152771,False,Queenstown,no,2.661360527649753,1,1,0,0,1,0,0,0,0,1,0,0,0,0
1,2,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.59466865095066,True,Southampton,yes,-0.6240080752947493,1,0,1,1,0,1,0,1,0,0,0,1,0,0
0,3,0.10313033390506016,0.47587560314134286,-0.5007544611783037,-0.3759300863410671,False,Southampton,no,0.0330656452941511,0,0,1,0,1,0,1,0,1,0,0,1,0,0
1,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8473116930747399,False,Cherbourg,yes,-0.6240080752947493,0,0,0,0,1,0,1,1,0,0,0,1,0,0
0,2,0.3938813798550463,-0.5345451980491797,-0.5007544611783037,-0.025948382965718463,True,Southampton,no,-0.6240080752947493,1,0,1,1,0,1,0,1,0,0,0,1,0,0
1,2,0.3211936183675498,-0.5345451980491797,-0.5007544611783037,-0.59466865095066,True,Southampton,yes,-0.6240080752947493,1,0,1,1,0,1,0,1,0,0,0,1,0,0
1,3,-1.0598738498948845,-0.5345451980491797,-0.5007544611783037,-0.8121297823429329,False,Queenstown,yes,-0.6240080752947493,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,1,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,0.38965488979250806,True,Southampton,yes,-0.6240080752947493,1,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,-1.5686881803073602,2.496717205522388,0.6896894265922036,-0.24140586910616751,False,Southampton,no,2.0042868070608524,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1,3,0.6119446643175359,0.47587560314134286,5.451464977674232,0.20974242040111785,False,Southampton,yes,3.3184342482386535,0,0,1,0,1,0,1,0,0,1,0,0,1,0
0,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8473116930747399,True,Cherbourg,no,-0.6240080752947493,1,0,0,0,1,1,0,1,0,0,0,1,0,0
0,1,-0.7691228039448983,2.496717205522388,1.8801333143627108,2.0485572268634304,True,Southampton,no,2.661360527649753,1,0,1,0,0,1,0,0,0,1,0,1,0,0
1,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8186919392812206,False,Queenstown,yes,-0.6240080752947493,0,1,0,0,1,0,1,1,0,0,0,1,0,0
0,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8179657272467168,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,1,0.757320187292529,-0.5345451980491797,-0.5007544611783037,0.049332681430319054,True,Cherbourg,no,-0.6240080752947493,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,1,-0.11493295055742946,0.47587560314134286,-0.5007544611783037,2.0485572268634304,False,Cherbourg,yes,0.0330656452941511,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8243441437907325,False,Queenstown,yes,-0.6240080752947493,0,1,0,0,1,0,1,1,0,0,0,1,0,0
0,2,2.647201985967439,-0.5345451980491797,-0.5007544611783037,-0.7040379332554565,True,Southampton,no,-0.6240080752947493,1,0,1,1,0,1,0,1,0,0,0,0,0,1
0,1,-0.11493295055742946,0.47587560314134286,-0.5007544611783037,2.0485572268634304,True,Cherbourg,no,0.0330656452941511,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,0.902695710267522,0.47587560314134286,-0.5007544611783037,1.1114921530041646,True,Southampton,no,0.0330656452941511,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8471279526804678,True,Cherbourg,yes,-0.6240080752947493,1,0,0,0,1,1,0,1,0,0,0,1,0,0
